Martin Midstream Partners L.P. (MMLP) ,MMLP,1030000000, 10/28/2015 , Sep 2015 , $0.23 , 5 , $-0.02 ,-108.7%
Mastech Holdings Inc (MHH) ,MHH,35370000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.22 ,n/a
MDC Partners Inc. (MDCA) ,MDCA,1040000000, 10/28/2015 , Sep 2015 , $0.17 , 5 , $-0.15 ,-188.24%
Methanex Corporation (MEOH) ,MEOH,3590000000, 10/28/2015 , Sep 2015 , $0.28 , 3 , $0.54 ,92.86%
Mid Penn Bancorp (MPB) ,MPB,66440000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.43 ,n/a
Mid-America Apartment Communities Inc. (MAA) ,MAA,6420000000, 10/28/2015 , Sep 2015 , $1.33 , 12 , $1.38 ,3.76%
Moelis & Company (MC) ,MC,1520000000, 10/28/2015 , Sep 2015 , $0.4 , 3 , $0.49 ,22.5%
Mondelez International Inc. (MDLZ) ,MDLZ,73360000000, 10/28/2015 , Sep 2015 , $0.39 , 8 , $0.42 ,7.69%
Murphy Oil Corporation (MUR) ,MUR,4910000000, 10/28/2015 , Sep 2015 , $-0.95 , 7 , $-0.72 ,-24.21%
National Oilwell Varco Inc. (NOV) ,NOV,14450000000, 10/28/2015 , Sep 2015 , $0.56 , 16 , $0.77 ,37.5%
NCI Inc. (NCIT) ,NCIT,202640000, 10/28/2015 , Sep 2015 , $0.2 , 7 , $0.23 ,15%
NEW GOLD INC. (NGD) ,NGD,1250000000, 10/28/2015 , Sep 2015 , $0 , 9 , $-0.02 ,-∞%
Newmont Mining Corporation (NEM) ,NEM,10300000000, 10/28/2015 , Sep 2015 , $0.19 , 9 , $0.23 ,21.05%
NextEra Energy Partners LP (NEP) ,NEP,559150000, 10/28/2015 , Sep 2015 , $0.26 , 6 , $0.05 ,-80.77%
NextEra Energy Inc. (NEE) ,NEE,46410000000, 10/28/2015 , Sep 2015 , $1.64 , 7 , $1.6 ,-2.44%
Noble Corporation (NE) ,NE,3260000000, 10/28/2015 , Sep 2015 , $0.54 , 11 , $0.72 ,33.33%
Nomura Holdings Inc ADR (NMR) ,NMR,22630000000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.1 ,n/a
Norfolk Souther Corporation (NSC) ,NSC,23890000000, 10/28/2015 , Sep 2015 , $1.41 , 12 , $1.57 ,11.35%
Northfield Bancorp Inc. (NFBK) ,NFBK,701330000, 10/28/2015 , Sep 2015 , $0.12 , 2 , $0.11 ,-8.33%
Northrop Grumman Corporation (NOC) ,NOC,34240000000, 10/28/2015 , Sep 2015 , $2.21 , 9 , $2.41 ,9.05%
Novadaq Technologies Inc (NVDQ) ,NVDQ,733400000, 10/28/2015 , Sep 2015 , $-0.2 , 8 , $-0.18 ,-10%
NTELOS Holdings Corp. (NTLS) ,NTLS,204520000, 10/28/2015 , Sep 2015 , $-0.14 , 2 , $-0.2 ,42.86%
NutriSystem Inc (NTRI) ,NTRI,672050000, 10/28/2015 , Sep 2015 , $0.23 , 5 , $0.25 ,8.7%
NXP Semiconductors N.V. (NXPI) ,NXPI,18200000000, 10/28/2015 , Sep 2015 , $1.35 , 5 , $1.43 ,5.93%
Occidental Petroleum Corporation (OXY) ,OXY,56940000000, 10/28/2015 , Sep 2015 , $-0.02 , 10 , $0.03 ,-250%
Oceaneering International Inc. (OII) ,OII,4110000000, 10/28/2015 , Sep 2015 , $0.69 , 9 , $0.7 ,1.45%
Ocwen Financial Corporation (OCN) ,OCN,876410000, 10/28/2015 , Sep 2015 , $-0.31 , 2 , $-0.53 ,70.97%
On Assignment Inc. (ASGN) ,ASGN,2370000000, 10/28/2015 , Sep 2015 , $0.76 , 8 , $0.5 ,-34.21%
ONE Gas Inc. (OGS) ,OGS,2570000000, 10/28/2015 , Sep 2015 , $0.13 , 4 , $0.14 ,7.69%
Oneida Financial Corp. (ONFC) ,ONFC,151680000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.12 ,n/a
Open Text Corporation (OTEX) ,OTEX,5630000000, 10/28/2015 , Sep 2015 , $0.77 , 1 , $0.81 ,5.19%
O'Reilly Automotive Inc. (ORLY) ,ORLY,27460000000, 10/28/2015 , Sep 2015 , $2.36 , 13 , $2.64 ,11.86%
Orion Engineered Carbons S.A (OEC) ,OEC,778830000, 10/28/2015 , Sep 2015 , $0.35 , 4 , $0.35 ,0%
Pacific Gas & Electric Co. (PCG) ,PCG,26190000000, 10/28/2015 , Sep 2015 , $0.92 , 6 , $0.84 ,-8.7%
PAREXEL International Corporation (PRXL) ,PRXL,3490000000, 10/28/2015 , Sep 2015 , $0.64 , 11 , $0.7 ,9.37%
PayPal Holdings Inc. (PYPL) ,PYPL,43990000000, 10/28/2015 , Sep 2015 , $0.24 , 8 , $0.26 ,8.33%
Peapack-Gladstone Financial Corporation (PGC) ,PGC,352510000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.35 ,n/a
Peoples Financial Corporation (PFBX) ,PFBX,46470000, 10/28/2015 , Sep 2015 , $n/a , 0 , $-0.5 ,n/a
