QTS Realty Trust Inc. (QTS) ,QTS,1760000000, 10/28/2014 , Sep 2014 , $0.48 , 5 , $0.49 ,2.08%
Quaker Chemical Corporation (KWR) ,KWR,1060000000, 10/28/2014 , Sep 2014 , $1.05 , 3 , $1.19 ,13.33%
Radware Ltd. (RDWR) ,RDWR,687920000, 10/28/2014 , Sep 2014 , $0.16 , 2 , $0.2 ,25%
Republic Airways Holdings Inc. (RJET) ,RJET,293170000, 10/28/2014 , Sep 2014 , $0.34 , 2 , $0.35 ,2.94%
Riverview Bancorp Inc (RVSB) ,RVSB,106240000, 10/28/2014 , Sep 2014 , $0.04 , 1 , $0.05 ,25%
Rogers Corporation (ROG) ,ROG,867900000, 10/28/2014 , Sep 2014 , $0.71 , 1 , $1.09 ,53.52%
RPX Corporation (RPXC) ,RPXC,780450000, 10/28/2014 , Sep 2014 , $0.18 , 2 , $0.21 ,16.67%
S&T Bancorp Inc. (STBA) ,STBA,1110000000, 10/28/2014 , Sep 2014 , $0.47 , 4 , $0.49 ,4.26%
Saia Inc. (SAIA) ,SAIA,593290000, 10/28/2014 , Sep 2014 , $0.66 , 5 , $0.64 ,-3.03%
Sanofi (SNY) ,SNY,131990000000, 10/28/2014 , Sep 2014 , $0.94 , 1 , $0.94 ,0%
Schnitzer Steel Industries Inc. (SCHN) ,SCHN,449260000, 10/28/2014 , Aug 2014 , $0.31 , 4 , $0.33 ,6.45%
Sensata Technologies Holding N.V. (ST) ,ST,8180000000, 10/28/2014 , Sep 2014 , $0.62 , 6 , $0.63 ,1.61%
Sherwin-Williams Company (The) (SHW) ,SHW,24840000000, 10/28/2014 , Sep 2014 , $3.18 , 10 , $3.39 ,6.6%
Sirius XM Holdings Inc. (SIRI) ,SIRI,21270000000, 10/28/2014 , Sep 2014 , $0.02 , 5 , $0.02 ,0%
SM Energy Company (SM) ,SM,2270000000, 10/28/2014 , Sep 2014 , $1.5 , 14 , $1.44 ,-4%
Solarwinds Inc. (SWI) ,SWI,4450000000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.43 ,n/a
Sound Financial Bancorp Inc. (SFBC) ,SFBC,51040000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.47 ,n/a
South State Corporation (SSB) ,SSB,1880000000, 10/28/2014 , Sep 2014 , $0.98 , 5 , $1 ,2.04%
Spirit Airlines Inc. (SAVE) ,SAVE,2660000000, 10/28/2014 , Sep 2014 , $0.96 , 5 , $1.01 ,5.21%
Starwood Hotels & Resorts Worldwide Inc. (HOT) ,HOT,13500000000, 10/28/2014 , Sep 2014 , $0.65 , 14 , $0.66 ,1.54%
Stock Building Supply Holdings Inc. (STCK) ,STCK,452470000, 10/28/2014 , Sep 2014 , $0.24 , 3 , $0.2 ,-16.67%
Summit State Bank (SSBI) ,SSBI,65670000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.24 ,n/a
Synalloy Corporation (SYNL) ,SYNL,76090000, 10/28/2014 , Sep 2014 , $0.33 , 2 , $0.28 ,-15.15%
Synchronoss Technologies Inc. (SNCR) ,SNCR,1540000000, 10/28/2014 , Sep 2014 , $0.32 , 5 , $0.35 ,9.37%
Synergy Resources Corporation (SYRG) ,SYRG,1180000000, 10/28/2014 , Aug 2014 , $0.13 , 7 , $0.13 ,0%
Tanger Factory Outlet Centers Inc. (SKT) ,SKT,3350000000, 10/28/2014 , Sep 2014 , $0.5 , 6 , $0.52 ,4%
TD Ameritrade Holding Corporation (AMTD) ,AMTD,18720000000, 10/28/2014 , Sep 2014 , $0.36 , 11 , $0.38 ,5.56%
The KEYW Holding Corporation (KEYW) ,KEYW,274990000, 10/28/2014 , Sep 2014 , $-0.03 , 5 , $-0.03 ,-0%
The Ultimate Software Group Inc. (ULTI) ,ULTI,5840000000, 10/28/2014 , Sep 2014 , $0.26 , 8 , $0.26 ,0%
Tile Shop Hldgs Inc. (TTS) ,TTS,745470000, 10/28/2014 , Sep 2014 , $0.06 , 3 , $0.03 ,-50%
Timken Company (The) (TKR) ,TKR,2620000000, 10/28/2014 , Sep 2014 , $0.65 , 4 , $0.77 ,18.46%
Timmons Gold Corp (TGD) ,TGD,58970000, 10/28/2014 , Sep 2014 , $0.01 , 3 , $0.01 ,0%
Titan International Inc. (TWI) ,TWI,382030000, 10/28/2014 , Sep 2014 , $0.01 , 5 , $-0.17 ,-1800%
Total System Services Inc. (TSS) ,TSS,9650000000, 10/28/2014 , Sep 2014 , $0.49 , 8 , $0.54 ,10.2%
Transportadora De Gas Sa Ord B (TGS) ,TGS,985170000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.03 ,n/a
TriMas Corporation (TRS) ,TRS,908600000, 10/28/2014 , Sep 2014 , $0.45 , 8 , $0.47 ,4.44%
